longitude,latitude
-0.106190899,51.42805053
-0.113742432,51.46301859
-0.109956377,51.4550841
-0.109670569,51.45503814
-0.109546273,51.45484207
-0.109283499,51.45467001
-0.115800322,51.50503022
-0.115535385,51.50494686
-0.115304138,51.5048764
-0.11498114,51.50480335
-0.114630815,51.50469416
-0.10075479,51.45012752
-0.100889327,51.44987857
-0.10104749,51.4496943
-0.142040024,51.41331315
-0.12687691,51.44218767
-0.126784902,51.44243494
-0.113632585,51.46297532
-0.126715437,51.4426665
-0.126946634,51.44274101
-0.127324756,51.44271551
-0.142004259,51.41333307
-0.115190623,51.49848242
-0.114247422,51.4305061
-0.118296604,51.41998834
-0.140050291,51.41528352
-0.140270553,51.41551079
-0.113406959,51.46287761
-0.140769762,51.41575613
-0.137503061,51.4228586
-0.13735005,51.4226863
-0.137336978,51.42247715
-0.137467587,51.42229389
-0.113546597,51.46293828
-0.116532543,51.43344953
-0.113320847,51.46283997
-0.141066677,51.41593186
-0.110863007,51.49180445
-0.11223075,51.46866026
-0.112091014,51.46878263
-0.112382537,51.46971775
-0.111988859,51.4698228
-0.112754829,51.4595851
-0.103723328,51.42625183
-0.103719049,51.42651146
-0.10362378,51.42677281
-0.143244431,51.45794585
-0.110331596,51.50388434
-0.110216612,51.50390987
-0.112158297,51.50664644
-0.10577696,51.44240498
-0.106123619,51.4426037
-0.106226111,51.44287323
-0.106404384,51.44309415
-0.111221615,51.50559801
-0.12253341,51.46965389
-0.096655879,51.44503206
-0.096958616,51.44490453
-0.097361646,51.44489216
-0.111411897,51.50586005
